__id_std_norm,expected_events_sum,exp_labor_hours_total,exp_labor_cost_total,exp_material_cost_total,exp_total_cost,actual_pm_count,labor_hours_sum,labor_cost_sum,materials_cost_sum,total_task_cost_sum,expected_events_gap,expected_total_cost_gap,expected_labor_hours_gap
100018,8,1.9536,138.72,2.2133333333333334,140.93333333333334,3,0.7326,52.02,0.83,52.85,5,88.08333333333334,1.221
100019,8,1.9536,138.72,2.2133333333333334,140.93333333333334,3,0.7326,52.02,0.83,52.85,5,88.08333333333334,1.221
100020,8,1.9536,138.72,2.2133333333333334,140.93333333333334,3,0.7326,52.02,0.83,52.85,5,88.08333333333334,1.221
100022,4,0.9768,69.36,1.1066666666666667,70.46666666666667,3,0.7326,52.02,0.83,52.85,1,17.616666666666667,0.24419999999999997
100023,4,0.9768,69.36,1.1066666666666667,70.46666666666667,3,0.7326,52.02,0.83,52.85,1,17.616666666666667,0.24419999999999997
100024,4,0.9768,69.36,1.1066666666666667,70.46666666666667,3,0.7326,52.02,0.83,52.85,1,17.616666666666667,0.24419999999999997
100025,4,0.9768,69.36,1.1066666666666667,70.46666666666667,3,0.7326,52.02,0.83,52.85,1,17.616666666666667,0.24419999999999997
100026,4,0.9768,69.36,1.1066666666666667,70.46666666666667,3,0.7326,52.02,0.83,52.85,1,17.616666666666667,0.24419999999999997
100027,4,0.9768,69.36,1.1066666666666667,70.46666666666667,3,0.7326,52.02,0.83,52.85,1,17.616666666666667,0.24419999999999997
100028,4,0.9768,69.36,1.1066666666666667,70.46666666666667,3,0.7326,52.02,0.83,52.85,1,17.616666666666667,0.24419999999999997
100030,8,4.448666,326.84000000000003,0.0,326.84000000000003,4,2.224333,163.42000000000002,0.0,163.42000000000002,4,163.42000000000002,2.224333
100031,4,2.224333,163.42000000000002,0.0,163.42000000000002,4,2.224333,163.42000000000002,0.0,163.42000000000002,0,0.0,0.0
100032,4,2.224333,163.42000000000002,0.0,163.42000000000002,4,2.224333,163.42000000000002,0.0,163.42000000000002,0,0.0,0.0
100033,4,2.224333,163.42000000000002,0.0,163.42000000000002,4,2.224333,163.42000000000002,0.0,163.42000000000002,0,0.0,0.0
100034,4,2.224333,163.42000000000002,0.0,163.42000000000002,4,2.224333,163.42000000000002,0.0,163.42000000000002,0,0.0,0.0
100036,4,2.224333,163.42000000000002,0.0,163.42000000000002,4,2.224333,163.42000000000002,0.0,163.42000000000002,0,0.0,0.0
100037,4,2.224333,163.42000000000002,0.0,163.42000000000002,4,2.224333,163.42000000000002,0.0,163.42000000000002,0,0.0,0.0
100038,4,2.224333,163.42000000000002,0.0,163.42000000000002,4,2.224333,163.42000000000002,0.0,163.42000000000002,0,0.0,0.0
100039,4,2.8501480000000003,200.48000000000002,0.0,200.48000000000002,3,2.137611,150.36,0.0,150.36,1,50.120000000000005,0.7125370000000002
100040,4,3.0632266666666665,220.04,0.0,220.04,3,2.29742,165.03,0.0,165.03,1,55.00999999999999,0.7658066666666667
100041,4,3.0632266666666665,220.04,0.0,220.04,3,2.29742,165.03,0.0,165.03,1,55.00999999999999,0.7658066666666667
100042,4,3.0632266666666665,220.04,0.0,220.04,3,2.29742,165.03,0.0,165.03,1,55.00999999999999,0.7658066666666667
100043,4,3.0632266666666665,220.04,0.0,220.04,3,2.29742,165.03,0.0,165.03,1,55.00999999999999,0.7658066666666667
100044,4,3.0632266666666665,220.04,0.0,220.04,3,2.29742,165.03,0.0,165.03,1,55.00999999999999,0.7658066666666667
100045,4,3.0632266666666665,220.04,0.0,220.04,3,2.29742,165.03,0.0,165.03,1,55.00999999999999,0.7658066666666667
100046,4,3.0632266666666665,220.04,0.0,220.04,3,2.29742,165.03,0.0,165.03,1,55.00999999999999,0.7658066666666667
100047,4,2.8501480000000003,200.48000000000002,0.0,200.48000000000002,3,2.137611,150.36,0.0,150.36,1,50.120000000000005,0.7125370000000002
100049,4,1.9823173333333333,142.42666666666665,0.0,142.42666666666665,3,1.486738,106.82,0.0,106.82,1,35.606666666666655,0.49557933333333337
100050,4,1.9823173333333333,142.42666666666665,0.0,142.42666666666665,3,1.486738,106.82,0.0,106.82,1,35.606666666666655,0.49557933333333337
100051,4,1.9823173333333333,142.42666666666665,0.0,142.42666666666665,3,1.486738,106.82,0.0,106.82,1,35.606666666666655,0.49557933333333337
100052,4,1.9823173333333333,142.42666666666665,0.0,142.42666666666665,3,1.486738,106.82,0.0,106.82,1,35.606666666666655,0.49557933333333337
100053,4,1.9823173333333333,142.42666666666665,0.0,142.42666666666665,3,1.486738,106.82,0.0,106.82,1,35.606666666666655,0.49557933333333337
