__id_std_norm,freq_code,expected_events,unit_labor_hours,unit_labor_cost,unit_material_cost,unit_total_cost,exp_labor_hours_total,exp_labor_cost_total,exp_material_cost_total,exp_total_cost
100027,A,4,0.2442,17.34,0.27666666666666667,17.616666666666667,0.9768,69.36,1.1066666666666667,70.46666666666667
100028,A,4,0.2442,17.34,0.27666666666666667,17.616666666666667,0.9768,69.36,1.1066666666666667,70.46666666666667
100030,SA,8,0.55608325,40.855000000000004,0.0,40.855000000000004,4.448666,326.84000000000003,0.0,326.84000000000003
100031,A,4,0.55608325,40.855000000000004,0.0,40.855000000000004,2.224333,163.42000000000002,0.0,163.42000000000002
100032,A,4,0.55608325,40.855000000000004,0.0,40.855000000000004,2.224333,163.42000000000002,0.0,163.42000000000002
100033,A,4,0.55608325,40.855000000000004,0.0,40.855000000000004,2.224333,163.42000000000002,0.0,163.42000000000002
100034,A,4,0.55608325,40.855000000000004,0.0,40.855000000000004,2.224333,163.42000000000002,0.0,163.42000000000002
100036,A,4,0.55608325,40.855000000000004,0.0,40.855000000000004,2.224333,163.42000000000002,0.0,163.42000000000002
100037,A,4,0.55608325,40.855000000000004,0.0,40.855000000000004,2.224333,163.42000000000002,0.0,163.42000000000002
100038,A,4,0.55608325,40.855000000000004,0.0,40.855000000000004,2.224333,163.42000000000002,0.0,163.42000000000002
100039,A,4,0.7125370000000001,50.120000000000005,0.0,50.120000000000005,2.8501480000000003,200.48000000000002,0.0,200.48000000000002
100040,A,4,0.7658066666666666,55.01,0.0,55.01,3.0632266666666665,220.04,0.0,220.04
100041,A,4,0.7658066666666666,55.01,0.0,55.01,3.0632266666666665,220.04,0.0,220.04
100042,A,4,0.7658066666666666,55.01,0.0,55.01,3.0632266666666665,220.04,0.0,220.04
100043,A,4,0.7658066666666666,55.01,0.0,55.01,3.0632266666666665,220.04,0.0,220.04
100044,A,4,0.7658066666666666,55.01,0.0,55.01,3.0632266666666665,220.04,0.0,220.04
100045,A,4,0.7658066666666666,55.01,0.0,55.01,3.0632266666666665,220.04,0.0,220.04
100046,A,4,0.7658066666666666,55.01,0.0,55.01,3.0632266666666665,220.04,0.0,220.04
100047,A,4,0.7125370000000001,50.120000000000005,0.0,50.120000000000005,2.8501480000000003,200.48000000000002,0.0,200.48000000000002
100049,A,4,0.4955793333333333,35.60666666666666,0.0,35.60666666666666,1.9823173333333333,142.42666666666665,0.0,142.42666666666665
100050,A,4,0.4955793333333333,35.60666666666666,0.0,35.60666666666666,1.9823173333333333,142.42666666666665,0.0,142.42666666666665
100051,A,4,0.4955793333333333,35.60666666666666,0.0,35.60666666666666,1.9823173333333333,142.42666666666665,0.0,142.42666666666665
100052,A,4,0.4955793333333333,35.60666666666666,0.0,35.60666666666666,1.9823173333333333,142.42666666666665,0.0,142.42666666666665
100053,A,4,0.4955793333333333,35.60666666666666,0.0,35.60666666666666,1.9823173333333333,142.42666666666665,0.0,142.42666666666665
100054,A,4,0.7125370000000001,50.120000000000005,0.0,50.120000000000005,2.8501480000000003,200.48000000000002,0.0,200.48000000000002
100055,A,4,0.4955793333333333,35.60666666666666,0.0,35.60666666666666,1.9823173333333333,142.42666666666665,0.0,142.42666666666665
100056,A,4,0.4955793333333333,35.60666666666666,0.0,35.60666666666666,1.9823173333333333,142.42666666666665,0.0,142.42666666666665
100057,A,4,0.4955793333333333,35.60666666666666,0.0,35.60666666666666,1.9823173333333333,142.42666666666665,0.0,142.42666666666665
100058,A,4,0.7125343333333333,50.120000000000005,0.0,50.120000000000005,2.850137333333333,200.48000000000002,0.0,200.48000000000002
100059,A,4,0.7125370000000001,50.120000000000005,0.0,50.120000000000005,2.8501480000000003,200.48000000000002,0.0,200.48000000000002
100086,A,4,1.6733333333333331,135.09666666666666,0.0,135.09666666666666,6.6933333333333325,540.3866666666667,0.0,540.3866666666667
100086,M,43,1.6733333333333331,135.09666666666666,0.0,135.09666666666666,71.95333333333332,5809.156666666667,0.0,5809.156666666667
100094,SA,14,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,12.3825,857.3133333333334,0.0,918.5058974358976
100095,SA,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100385,A,20,18.91430713483146,1202.3420037453184,83.81455056179776,1292.1252247191012,378.2861426966292,24046.840074906366,1676.2910112359552,25842.504494382025
100446,A,4,1.267039769230769,78.15153846153846,5.633846153846154,108.07384615384616,5.068159076923076,312.60615384615386,22.535384615384615,432.29538461538465
100461,A,4,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,3.537857142857143,244.9466666666667,0.0,262.43025641025645
100466,SA,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100467,SA,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100468,SA,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100470,2Y,2,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,1.7689285714285714,122.47333333333334,0.0,131.21512820512822
100471,A,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100471,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
100472,A,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100472,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
100473,A,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100473,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
100474,A,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100474,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
100478,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
100482,M,43,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,38.03196428571429,2633.1766666666667,0.0,2821.125256410257
100509,A,20,0.4637255384615384,32.973076923076924,0.0,32.973076923076924,9.27451076923077,659.4615384615385,0.0,659.4615384615385
100513,10Y,1,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,0.8844642857142857,61.23666666666667,0.0,65.60756410256411
100515,2Y,2,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,1.7689285714285714,122.47333333333334,0.0,131.21512820512822
100520,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
100523,A,20,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,17.689285714285713,1224.7333333333333,0.0,1312.1512820512821
100529,SA,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100531,2Y,2,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,1.7689285714285714,122.47333333333334,0.0,131.21512820512822
100533,A,20,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,17.689285714285713,1224.7333333333333,0.0,1312.1512820512821
100541,A,20,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,17.689285714285713,1224.7333333333333,0.0,1312.1512820512821
100542,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
100543,2Y,2,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,1.7689285714285714,122.47333333333334,0.0,131.21512820512822
100544,A,4,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,3.537857142857143,244.9466666666667,0.0,262.43025641025645
100545,A,4,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,3.537857142857143,244.9466666666667,0.0,262.43025641025645
100546,M,172,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,152.12785714285715,10532.706666666667,0.0,11284.501025641028
100546,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
100546,SA,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100553,A,20,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,17.689285714285713,1224.7333333333333,0.0,1312.1512820512821
100554,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
100557,2Y,2,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,1.7689285714285714,122.47333333333334,0.0,131.21512820512822
100564,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
100567,A,20,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,17.689285714285713,1224.7333333333333,0.0,1312.1512820512821
100568,SA,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100571,2Y,2,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,1.7689285714285714,122.47333333333334,0.0,131.21512820512822
100575,SA,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100576,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
100581,10Y,1,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,0.8844642857142857,61.23666666666667,0.0,65.60756410256411
100586,SA,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100590,2Y,2,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,1.7689285714285714,122.47333333333334,0.0,131.21512820512822
100593,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
100595,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
100603,SA,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100607,2Y,2,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,1.7689285714285714,122.47333333333334,0.0,131.21512820512822
100610,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
100611,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
100619,2Y,2,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,1.7689285714285714,122.47333333333334,0.0,131.21512820512822
100622,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
100623,M,43,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,38.03196428571429,2633.1766666666667,0.0,2821.125256410257
100623,SA,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100632,2Y,2,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,1.7689285714285714,122.47333333333334,0.0,131.21512820512822
100633,M,172,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,152.12785714285715,10532.706666666667,0.0,11284.501025641028
100633,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
